bank,continuation,dataset,mae_mean,mae_std,mse_mean,mse_std,runs,scale,variant
on,preserved,ETTm2,0.3279189649148773,0.0570783718445064,0.2844939110599468,0.09248314319582847,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,Electricity,0.2758912819461659,0.022903120624847152,0.18402175779705754,0.026045910475063463,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,Traffic,0.3024234317586865,0.009478792196997652,0.4595890266717415,0.022489935432119277,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,Weather,0.27929194797271706,0.05244403638493009,0.2512396577436952,0.07169916483227577,12,multiscale,scale-multiscale__bank-on__continuation-preserved
off,early,ETTh1,0.4464404869005692,0.025182118323601003,0.45925617549935777,0.03832625785037561,12,single,scale-single__bank-off__continuation-early
off,early,ETTh2,0.40440024955173665,0.04245472993807106,0.38155717020482943,0.056151421896258276,12,single,scale-single__bank-off__continuation-early
off,early,ETTm1,0.41858872118249174,0.03455861285182638,0.4119420621659374,0.05788053607045803,12,single,scale-single__bank-off__continuation-early
off,early,ETTm2,0.33335946887431334,0.05345147847237487,0.29005523735453315,0.08931563474728607,12,single,scale-single__bank-off__continuation-early
off,early,Electricity,0.323793419041218,0.02467905687348423,0.22470209054443535,0.027651170631704754,12,single,scale-single__bank-off__continuation-early
off,early,Traffic,0.3597560457320685,0.02311305635992622,0.5093139527265989,0.031234834893958247,12,single,scale-single__bank-off__continuation-early
off,early,Weather,0.2772193336888524,0.05194544769244822,0.2485987901399195,0.0708661787450741,12,single,scale-single__bank-off__continuation-early
off,preserved,ETTh1,0.4452427356516911,0.025361248662282145,0.45882025599071574,0.03804216585957004,12,single,scale-single__bank-off__continuation-preserved
off,preserved,ETTh2,0.40278129222971,0.040725732834299574,0.3796356969301984,0.054206160832444,12,single,scale-single__bank-off__continuation-preserved
off,preserved,ETTm1,0.41592634795698036,0.03438246593235042,0.4107940442194547,0.05789097679750769,12,single,scale-single__bank-off__continuation-preserved
off,preserved,ETTm2,0.33213890205073854,0.055021882525673346,0.28943208117790326,0.0912553104162739,12,single,scale-single__bank-off__continuation-preserved
off,preserved,Electricity,0.28045123999621985,0.020064119156675452,0.18737637496594386,0.02264032421187123,12,single,scale-single__bank-off__continuation-preserved
off,preserved,Traffic,0.30588460548612734,0.00798018908489227,0.4653779283686406,0.020528628753959267,12,single,scale-single__bank-off__continuation-preserved
off,preserved,Weather,0.27723987039422265,0.05261004103448644,0.24871748898805435,0.07148746672680992,12,single,scale-single__bank-off__continuation-preserved
on,early,ETTh1,0.4414474934994033,0.029385540706498736,0.45498668875759535,0.041801653014477726,12,single,scale-single__bank-on__continuation-early
on,early,ETTh2,0.40240122187601207,0.042167097980647446,0.3813374780961598,0.0572727834526559,12,single,scale-single__bank-on__continuation-early
on,early,ETTm1,0.4202130878309322,0.03730426586938362,0.4172599981882919,0.06371562175223915,12,single,scale-single__bank-on__continuation-early
on,early,ETTm2,0.327158338380717,0.0562599084010264,0.2837075704597977,0.0908377894749666,12,single,scale-single__bank-on__continuation-early
on,early,Electricity,0.33334852252395697,0.04450530693032759,0.23722471396955724,0.04805242639692121,12,single,scale-single__bank-on__continuation-early
on,early,Traffic,0.35955894869281635,0.029637355420748152,0.5153786449010251,0.03471028740202869,12,single,scale-single__bank-on__continuation-early
on,early,Weather,0.2786264378271012,0.05204385209641041,0.25070234522253126,0.0712060519012666,12,single,scale-single__bank-on__continuation-early
on,preserved,ETTh1,0.44188025715563567,0.029908333522688513,0.4556742232269038,0.04166601328238613,12,single,scale-single__bank-on__continuation-preserved
on,preserved,ETTh2,0.401513324383523,0.04120013819062178,0.38013968443209806,0.05661626446420524,12,single,scale-single__bank-on__continuation-preserved
on,preserved,ETTm1,0.4174459917550997,0.033385023375726554,0.4123795562307653,0.057211098461251705,12,single,scale-single__bank-on__continuation-preserved
on,preserved,ETTm2,0.3261987936115172,0.055082644963907065,0.2827967836014794,0.0897094071676287,12,single,scale-single__bank-on__continuation-preserved
on,preserved,Electricity,0.2767211477165437,0.022526296901600615,0.18525487340686855,0.02521153697862646,12,single,scale-single__bank-on__continuation-preserved
on,preserved,Traffic,0.3033252186064112,0.008543823508685305,0.4618946720324133,0.02141573130304327,12,single,scale-single__bank-on__continuation-preserved
on,preserved,Weather,0.2781703731895966,0.05217546032666773,0.24991212455315023,0.0711299822534631,12,single,scale-single__bank-on__continuation-preserved
