dataset,horizon,mae_mean,mae_std,mse_mean,mse_std,runs,variant
Weather,192,0.2568017884636186,0.0023512534225858,0.2155265978880935,0.0022752550770596823,5,early_fusion
Weather,336,0.298558124357024,0.000769232397649178,0.27399019458257434,0.001371303156732187,5,early_fusion
Weather,720,0.3483091251957493,0.0009332077207036348,0.35055325300611184,0.0005743725442463205,5,early_fusion
Weather,96,0.21361981849102585,0.0011081674826754714,0.16674710394387654,0.0014152400005881557,5,early_fusion
ETTh1,192,0.4384213237866822,0.004721198085468362,0.45167314956055166,0.007264661238888605,5,final_no_exchange
ETTh1,336,0.45695542584013893,0.0031429291149319746,0.48893428259980665,0.007010167470538615,5,final_no_exchange
ETTh1,720,0.4812601830166482,0.0011641093804995073,0.5000977259408034,0.005309916351231013,5,final_no_exchange
ETTh1,96,0.4140382771974263,0.0043141771466926136,0.4036839167016117,0.00479366696772546,5,final_no_exchange
ETTh2,192,0.39679707735885095,0.0043089405824382546,0.3812493967037596,0.007316288707563001,5,final_no_exchange
ETTh2,336,0.42953086008239866,0.0046703849644618815,0.41880761376797154,0.007467256568814657,5,final_no_exchange
ETTh2,720,0.4455885541262795,0.005003077162340971,0.4267151760834512,0.009990251056637285,5,final_no_exchange
ETTh2,96,0.34682111067151045,0.0035772750134781418,0.2987783630340438,0.003943855103913707,5,final_no_exchange
ETTm1,192,0.39927663215645,0.0033928575775468103,0.38593679615685517,0.007885061330672422,5,final_no_exchange
ETTm1,336,0.4255779987312341,0.008610716138545063,0.4295736487782051,0.01804332612808959,5,final_no_exchange
ETTm1,720,0.46904994815563256,0.007985665224170367,0.498565494335542,0.012856406079257162,5,final_no_exchange
ETTm1,96,0.3743297305053953,0.002891942302890422,0.33735155654582083,0.0052454316291029625,5,final_no_exchange
ETTm2,192,0.3014370016574697,0.001300275743787532,0.24121727242702745,0.001404432940918319,5,final_no_exchange
ETTm2,336,0.3456668267867164,0.0009728928142447407,0.3077813057398058,0.0014015774083738126,5,final_no_exchange
ETTm2,720,0.40597213935610144,0.0015736371139281847,0.41450561168508415,0.0020525411101484383,5,final_no_exchange
ETTm2,96,0.2589720556365086,0.000981307576533206,0.17492455641200075,0.0016682273434948745,5,final_no_exchange
Electricity,192,0.26283678846991687,0.00122997411485615,0.16989630363034774,0.0013702609573599518,5,final_no_exchange
Electricity,336,0.27989380911027956,0.0016620604614335935,0.18707974227717972,0.001790456319104597,5,final_no_exchange
Electricity,720,0.3100938481841851,0.002475928932517962,0.22367875986046698,0.0038867198009672156,5,final_no_exchange
Electricity,96,0.2513634516926837,0.0007508516364066935,0.15652926322845415,0.001020570872920287,5,final_no_exchange
Traffic,192,0.2973730974340877,0.0020956258910325306,0.45034298683289525,0.002611000583558385,5,final_no_exchange
Traffic,336,0.3024237437642837,0.0026732245779386827,0.4633265011568848,0.003825722948062533,5,final_no_exchange
Traffic,720,0.3165800315656986,0.0015381807884792121,0.49092933309575193,0.003218904297074807,5,final_no_exchange
Traffic,96,0.29415919003401847,0.0016521770360148947,0.4350099819851704,0.0036657662166713644,5,final_no_exchange
Weather,192,0.2567220405055182,0.0023772541517597706,0.21507278107197636,0.002319648396915359,5,final_no_exchange
Weather,336,0.2991246541337756,0.001190953069484569,0.27409283382458904,0.0018264157599456722,5,final_no_exchange
Weather,720,0.34885674605110717,0.000674751491610888,0.3507794092026078,0.0002784415858152272,5,final_no_exchange
Weather,96,0.21301290014273153,0.001373768660356692,0.16639330807220729,0.001483329277495391,5,final_no_exchange
ETTh1,192,0.4414582323180637,0.0025084303433298085,0.45305026270774135,0.0034523274101319946,5,no_linear_bank
ETTh1,336,0.45825964984557566,0.0059485418123888245,0.4879066732702394,0.011371277709979347,5,no_linear_bank
ETTh1,720,0.48604834566827826,0.016856238959975917,0.5145265008306552,0.045574201105207185,5,no_linear_bank
ETTh1,96,0.42112373047775115,0.002212307763680637,0.4107837728562493,0.0032784164761124326,5,no_linear_bank
ETTh2,192,0.4024690696956664,0.0038808491428293872,0.38969096373079576,0.006022390725927712,5,no_linear_bank
ETTh2,336,0.42996495895352094,0.006051042173789515,0.4184182972107141,0.007830621395335757,5,no_linear_bank
ETTh2,720,0.4454475636550642,0.003215547820065453,0.42667553373086164,0.006042987849837385,5,no_linear_bank
ETTh2,96,0.3544264546681584,0.00672674370089206,0.30883649217090803,0.007366643846363699,5,no_linear_bank
ETTm1,192,0.40112984796557266,0.005839237869141242,0.38781956339672735,0.011214279711780958,5,no_linear_bank
ETTm1,336,0.4260040405982831,0.003257428976018755,0.42747954403227506,0.007257470195931586,5,no_linear_bank
ETTm1,720,0.46255264029215126,0.008575478352006517,0.4854801773317797,0.013400670306177897,5,no_linear_bank
ETTm1,96,0.3781701389744814,0.004387977335146669,0.3416910380285656,0.007705120401404866,5,no_linear_bank
ETTm2,192,0.3062236144830519,0.0030148601883661858,0.24524577388679888,0.003954705075357466,5,no_linear_bank
ETTm2,336,0.3478825236515996,0.002101149500253836,0.31073346246270866,0.0028739992670150337,5,no_linear_bank
ETTm2,720,0.40461749116448475,0.0022356154556284393,0.41378314827540474,0.002415849268205476,5,no_linear_bank
ETTm2,96,0.2625021294091684,0.001129106761533838,0.17752868361988328,0.0012716732857044773,5,no_linear_bank
Electricity,192,0.26627775928700037,0.0009785501877581017,0.172181045566407,0.0011531057693118243,5,no_linear_bank
Electricity,336,0.2826814264656819,0.0014432775469911208,0.1893636382622909,0.0017966253968386403,5,no_linear_bank
Electricity,720,0.31243860847008,0.004607837334322864,0.22426366056509214,0.007796907501692828,5,no_linear_bank
Electricity,96,0.25711267694066925,0.002557330825637951,0.16035609036876816,0.0019434045723455261,5,no_linear_bank
Traffic,192,0.30031356323818,0.001237093177401732,0.4522061907045988,0.001702386153980558,5,no_linear_bank
Traffic,336,0.3043286951505989,0.0033522425591094233,0.46584453335897547,0.004547856028554298,5,no_linear_bank
Traffic,720,0.31747831670580984,0.00216751520001992,0.49260839503874554,0.00539071457636133,5,no_linear_bank
Traffic,96,0.29734000351588113,0.002528107394891966,0.43750715064516277,0.003431959110669249,5,no_linear_bank
Weather,192,0.25645835296092717,0.0011324700285166348,0.21505963619976712,0.0009515096770323004,5,no_linear_bank
Weather,336,0.29652942101367563,0.00153455923070367,0.2710134821956194,0.0014932213612802625,5,no_linear_bank
Weather,720,0.3472510952940068,0.0005402609886976377,0.34832549449169564,0.0014509408939597512,5,no_linear_bank
Weather,96,0.21248910938901694,0.0005067922648111955,0.16531860816664148,0.0010793445194527682,5,no_linear_bank
ETTh1,192,0.4352789379200194,0.005322720897331621,0.4499116943688497,0.005559286361221702,5,no_multiscale
ETTh1,336,0.4506572671946875,0.0019853467485440772,0.4845809002923658,0.0046750103314117655,5,no_multiscale
ETTh1,720,0.4809985350441709,0.0019861546967763783,0.49905430895677155,0.005587856018597833,5,no_multiscale
ETTh1,96,0.4047493267491443,0.005021955593280888,0.39674119837316496,0.004324974847738711,5,no_multiscale
ETTh2,192,0.39406799504611223,0.0027273177268786154,0.3786145198427304,0.006739044373411809,5,no_multiscale
ETTh2,336,0.42780733280052646,0.005332517472936436,0.4208649017149222,0.012793102366686697,5,no_multiscale
ETTh2,720,0.445525856043004,0.00761927480610584,0.4278834563246673,0.012601754837988907,5,no_multiscale
ETTh2,96,0.34060375763471695,0.0004710225264054753,0.2936137413837935,0.0021520716384771975,5,no_multiscale
ETTm1,192,0.40458640971273024,0.003246004009378906,0.3960626904278551,0.006277783133696435,5,no_multiscale
ETTm1,336,0.41791174009429144,0.0047238028108895535,0.41742506701529825,0.012697471622437551,5,no_multiscale
ETTm1,720,0.4647273047072261,0.004541645806629288,0.4936582084172735,0.006615048677553991,5,no_multiscale
ETTm1,96,0.37887866710978046,0.002774814619832791,0.3423608080015414,0.003365910562874355,5,no_multiscale
ETTm2,192,0.3006260866195041,0.0006556600268978835,0.24028264814923386,0.0012462830401116808,5,no_multiscale
ETTm2,336,0.3441404085592378,0.0004970388116836204,0.30686835418436964,0.0011023958663858556,5,no_multiscale
ETTm2,720,0.4015880787564333,0.0010291911147746165,0.4089929405413087,0.001769757392513766,5,no_multiscale
ETTm2,96,0.25894405762319755,0.0006019783427868396,0.17552341045368908,0.0006961698411423913,5,no_multiscale
Electricity,192,0.2632707812742092,0.0007236230932840033,0.1710170465935647,0.0007275436977938248,5,no_multiscale
Electricity,336,0.28135315707351555,0.0014106061458068434,0.18935631050495105,0.0013700422505167412,5,no_multiscale
Electricity,720,0.3107556715632066,0.002939994706900373,0.22354113595919936,0.0031371334642043293,5,no_multiscale
Electricity,96,0.2525537361860618,0.0006707291370919184,0.1583147914075464,0.0007998702854184818,5,no_multiscale
Traffic,192,0.2997196838960733,0.0015705574665323947,0.45282491116373713,0.003084282079051657,5,no_multiscale
Traffic,336,0.30049341205146995,0.0014754192809963102,0.46281444414503287,0.0030980844311288796,5,no_multiscale
Traffic,720,0.3175883300564718,0.0012556809029086824,0.49310225797650975,0.004609712288276494,5,no_multiscale
Traffic,96,0.2969682847616348,0.0019192101462375188,0.4404418132569231,0.003769722534355921,5,no_multiscale
Weather,192,0.2547065068272598,0.0016184159407335343,0.21379151930096668,0.0019418138341995923,5,no_multiscale
Weather,336,0.2977088084397708,0.00159028760149111,0.2725271626880078,0.0024709640790630543,5,no_multiscale
Weather,720,0.34784231593174064,0.0014472486068057466,0.3490269715478367,0.0019123939085152382,5,no_multiscale
Weather,96,0.21224651120640842,0.0016915785129937245,0.16534739254577252,0.0015404715095822098,5,no_multiscale
ETTh1,192,0.4380971026451415,0.0022999729758273893,0.4502900747438929,0.0035676767120263217,5,x_to_z
ETTh1,336,0.45707381432305894,0.002987510298722876,0.48821949431191464,0.00803164410823478,5,x_to_z
ETTh1,720,0.4809671462794477,0.002499214447751618,0.4966437131297319,0.006609171198105803,5,x_to_z
ETTh1,96,0.41456880771982335,0.0034389207724480806,0.4044464855711002,0.0029161639567329752,5,x_to_z
ETTh2,192,0.39681113994183403,0.004306537708271565,0.3815106290221335,0.007342492169935218,5,x_to_z
ETTh2,336,0.43314685603173225,0.009636670411827933,0.4250803955766599,0.01583560726288049,5,x_to_z
ETTh2,720,0.4595886516315365,0.016878875255583636,0.44868326815295284,0.02825389098083,5,x_to_z
ETTh2,96,0.3465482888487125,0.003207079904930463,0.2984699497400639,0.003509947449913822,5,x_to_z
ETTm1,192,0.40094752259735456,0.003099529468727412,0.3882586755257065,0.006212911564472504,5,x_to_z
ETTm1,336,0.43616713056941664,0.01214698390487538,0.4459550885687921,0.020401099694858732,5,x_to_z
ETTm1,720,0.4848254387714316,0.039362637612142,0.5300518076376555,0.08163303498349644,5,x_to_z
ETTm1,96,0.37663049955408784,0.004362446914018788,0.34037100029349443,0.006620062014364015,5,x_to_z
ETTm2,192,0.3020429046964083,0.0013923132754246896,0.2416431293264111,0.0012079889474267645,5,x_to_z
ETTm2,336,0.34591966961690096,0.00046321031217532875,0.3079898657493717,0.00026109701183480257,5,x_to_z
ETTm2,720,0.40578770238123074,0.0018498357258472358,0.41428309002774694,0.002475241844807213,5,x_to_z
ETTm2,96,0.2592530916497597,0.0012204055116663264,0.17515525668653906,0.001974343020552204,5,x_to_z
Electricity,192,0.29634602723099573,0.010767619414599257,0.19513314692676104,0.0075220588829170805,5,x_to_z
Electricity,336,0.32694958558686704,0.008577967231075566,0.22461336139027216,0.007654296738875869,5,x_to_z
Electricity,720,0.33380788474566936,0.011384087815626448,0.24455142161004567,0.009474019717153899,5,x_to_z
Electricity,96,0.29138068302337067,0.011121902123666268,0.18887009143910896,0.008139391809256567,5,x_to_z
Traffic,192,0.37815717375490054,0.020535857581013593,0.5129485690755086,0.015224985192045222,5,x_to_z
Traffic,336,0.3703633741489064,0.008422388255121682,0.5198830268502002,0.007656297082186284,5,x_to_z
Traffic,720,0.3922602070539245,0.015286318726421862,0.5564981426374495,0.012844315022830123,5,x_to_z
Traffic,96,0.3574044627902948,0.010543702383773834,0.48782668080671315,0.010595508183997866,5,x_to_z
Weather,192,0.2574115454340166,0.0020481961155583398,0.2162357708903413,0.0019871092455911294,5,x_to_z
Weather,336,0.29942198367837,0.0006833168943529751,0.2749900131695938,0.0013751439559975278,5,x_to_z
Weather,720,0.3486371359841157,0.0009747400025823939,0.3509248236340338,0.0006250443499727259,5,x_to_z
Weather,96,0.21470423987026863,0.0019243110613236135,0.1681906204871749,0.0019087933116041335,5,x_to_z
