clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
-0.04599256502003438,-0.04599256502003438,-0.04599256502003438,Traffic,continuation,negative contrast favors the +1 level(s),mse,12
-0.00022293703741199772,-0.004121371033885812,-0.0022375206323664402,ALL,scale_x_bank,negative contrast favors the +1 level(s),mse,84
-0.003655754326244671,-0.003655754326244671,-0.003655754326244671,ETTh1,scale_x_bank,negative contrast favors the +1 level(s),mse,12
-0.003437379606294961,-0.003437379606294961,-0.003437379606294961,ETTh2,scale_x_bank,negative contrast favors the +1 level(s),mse,12
-0.0001226082996000783,-0.0001226082996000783,-0.0001226082996000783,ETTm1,scale_x_bank,negative contrast favors the +1 level(s),mse,12
0.0020472110086651196,0.0020472110086651196,0.0020472110086651196,ETTm2,scale_x_bank,negative contrast favors the +1 level(s),mse,12
-0.00019534181769500074,-0.00019534181769500074,-0.00019534181769500074,Weather,scale_x_bank,negative contrast favors the +1 level(s),mse,12
-0.005786363918554739,-0.005786363918554739,-0.005786363918554739,Electricity,scale_x_bank,negative contrast favors the +1 level(s),mse,12
-0.004512407466840749,-0.004512407466840749,-0.004512407466840749,Traffic,scale_x_bank,negative contrast favors the +1 level(s),mse,12
0.0026267818856018526,-5.2796218831928056e-05,0.0011926797081124798,ALL,scale_x_continuation,negative contrast favors the +1 level(s),mse,84
0.0017957298763490563,0.0017957298763490563,0.0017957298763490563,ETTh1,scale_x_continuation,negative contrast favors the +1 level(s),mse,12
-0.001149476903162635,-0.001149476903162635,-0.001149476903162635,ETTh2,scale_x_continuation,negative contrast favors the +1 level(s),mse,12
4.2146002002102036e-05,4.2146002002102036e-05,4.2146002002102036e-05,ETTm1,scale_x_continuation,negative contrast favors the +1 level(s),mse,12
0.0003156263454085646,0.0003156263454085646,0.0003156263454085646,ETTm2,scale_x_continuation,negative contrast favors the +1 level(s),mse,12
2.4866700603872496e-05,2.4866700603872496e-05,2.4866700603872496e-05,Weather,scale_x_continuation,negative contrast favors the +1 level(s),mse,12
0.00460243234233577,0.00460243234233577,0.00460243234233577,Electricity,scale_x_continuation,negative contrast favors the +1 level(s),mse,12
0.0027174335932506287,0.0027174335932506287,0.0027174335932506287,Traffic,scale_x_continuation,negative contrast favors the +1 level(s),mse,12
0.00019329868353166362,-0.0010912622509221047,-0.00042662728037873255,ALL,bank_x_continuation,negative contrast favors the +1 level(s),mse,84
-0.0004028449646636528,-0.0004028449646636528,-0.0004028449646636528,ETTh1,bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.0008417321030354518,0.0008417321030354518,0.0008417321030354518,ETTh2,bank_x_continuation,negative contrast favors the +1 level(s),mse,12
-0.0014639132035964436,-0.0014639132035964436,-0.0014639132035964436,ETTm1,bank_x_continuation,negative contrast favors the +1 level(s),mse,12
-8.988191823281963e-05,-8.988191823281963e-05,-8.988191823281963e-05,ETTm2,bank_x_continuation,negative contrast favors the +1 level(s),mse,12
-0.00014140531563963492,-0.00014140531563963492,-0.00014140531563963492,Weather,bank_x_continuation,negative contrast favors the +1 level(s),mse,12
