ablation_protocol,ablation_seed,backbone_patch_lens,backbone_switches,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,continuation_unfreeze_blocks,dataset,elapsed_seconds,horizon,inducing_points,inference_ms_batch,latent_dim,mae,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,representation_weight,rmse,seed,selected_hyperparameters,selection_protocol,source_model,training_ms_optimizer_step,variant
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",8,backbone,0.4397071261727621,,,,Weather,42.12336916802451,96,,5.690873243607088,,0.21700865091565896,LatentFlow,0.17111476908425247,,10445.0,,,False,,0.4136602096942036,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",2,backbone,1.0367310043601763,,,,ETTh1,39.78190175583586,192,,6.134189065813483,,0.440425576072533,LatentFlow,0.44902821632891504,,2689.0,,,False,,0.6700956769961399,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",2,backbone,1.3007798340855812,,,,ETTh1,39.915382246952504,336,,5.681284329016941,,0.45417873441249734,LatentFlow,0.48012499087282834,,2545.0,,,False,,0.6929105215486545,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",1,backbone,1.5790844803764708,,,,ETTh1,41.5285630049184,720,,6.3572447580188065,,0.4806381676928596,LatentFlow,0.4973093218734162,,2161.0,,,False,,0.7052016178891085,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",4,backbone,0.7661949974440393,,,,ETTh1,38.92163727595471,96,,5.753805331961182,,0.4111772831886398,LatentFlow,0.4014178169500301,,2785.0,,,False,,0.6335754232528517,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",1,backbone,0.2844310026793253,,,,ETTh2,38.00828013429418,192,,5.6583017172169185,,0.40753964368384504,LatentFlow,0.3974061367854543,,2689.0,,,False,,0.6304015678799144,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",2,backbone,0.35935517679266377,,,,ETTh2,38.312114126980305,336,,5.371387402491668,,0.43605403248329466,LatentFlow,0.427892985853189,,2545.0,,,False,,0.6541352962905984,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",3,backbone,0.619887431841048,,,,ETTh2,38.47063909098506,720,,5.555310046366318,,0.446790179298598,LatentFlow,0.42605225760651827,,2161.0,,,False,,0.6527267863405931,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",3,backbone,0.22332390681618736,,,,ETTh2,40.440090341027826,96,,6.326460344124736,,0.3471928596007393,LatentFlow,0.2994404136538353,,2785.0,,,False,,0.5472114889636687,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",4,backbone,0.5122580281680539,,,,ETTm1,43.00805298300111,192,,5.730618323804415,,0.3981987165891327,LatentFlow,0.3840122582969978,,11329.0,,,False,,0.6196872261851117,42,True,,,,component_gated_field
