dataset,gflops_per_sample,gpu,horizon,inference_ms_batch,model,parameters_total,parameters_trainable,peak_inference_gpu_mb,peak_training_gpu_mb,profile_batch_size,training_ms_iter
Weather,2.118553057,NVIDIA GH200 120GB,336,77.25401325151324,LatentFlow,1675166.0,657496.0,51.65966796875,245.16552734375,1,238.8136537745595
Weather,3.118639201,NVIDIA GH200 120GB,720,72.71872930577956,LatentFlow,2067302.0,667516.0,66.3515625,342.65966796875,1,240.03118040272966
ETTh1,0.364453173,NVIDIA GH200 120GB,96,3.0046337749809027,TimeMixer,189469.0,189469.0,39.62744140625,81.412109375,1,11.82023580186069
ETTh1,0.389571189,NVIDIA GH200 120GB,192,2.7597484178841114,TimeMixer,203485.0,203485.0,39.68359375,81.578125,1,11.81095540523529
ETTh1,0.427248213,NVIDIA GH200 120GB,336,2.858862793073058,TimeMixer,224509.0,224509.0,39.767578125,82.4853515625,1,11.44667030312121
ETTh1,0.527720277,NVIDIA GH200 120GB,720,3.0534955207258463,TimeMixer,280573.0,280573.0,41.16357421875,87.10546875,1,12.876605708152056
ETTh2,0.364453173,NVIDIA GH200 120GB,96,2.9937589017208666,TimeMixer,189469.0,189469.0,39.62744140625,81.412109375,1,12.374563893536106
ETTh2,0.389571189,NVIDIA GH200 120GB,192,2.7536291163414717,TimeMixer,203485.0,203485.0,39.68359375,81.578125,1,11.958612827584147
ETTh2,0.427248213,NVIDIA GH200 120GB,336,2.762453956529498,TimeMixer,224509.0,224509.0,39.767578125,82.4853515625,1,11.680558556690812
ETTh2,0.527720277,NVIDIA GH200 120GB,720,2.880952600389719,TimeMixer,280573.0,280573.0,41.16357421875,87.10546875,1,12.606058502569795
ETTm1,0.364453173,NVIDIA GH200 120GB,96,2.824735501781106,TimeMixer,189469.0,189469.0,39.62744140625,81.412109375,1,12.155772605910897
ETTm1,0.389571189,NVIDIA GH200 120GB,192,2.875014767050743,TimeMixer,203485.0,203485.0,39.68359375,81.578125,1,12.485714349895716
