dataset,horizon,mae,model,mse,seed
ETTh2,96,0.3446854704127736,LatentFlow,0.29659152826284907,43
ETTh2,96,0.3518202495827699,LatentFlow,0.30441245197016653,44
ETTh2,96,0.34930985199545983,LatentFlow,0.30112829894869514,45
ETTh2,96,0.3458137481632707,LatentFlow,0.298961461420965,46
ETTh2,192,0.3902497946414888,LatentFlow,0.36935875294162884,42
ETTh2,192,0.39616170797824446,LatentFlow,0.38277998701682386,43
ETTh2,192,0.40038104993692547,LatentFlow,0.38934538500320265,44
ETTh2,192,0.3963399472574656,LatentFlow,0.3814257277054827,45
ETTh2,192,0.4010127329049908,LatentFlow,0.38344777443369743,46
ETTh2,336,0.4269980570079633,LatentFlow,0.4155208339614433,42
ETTh2,336,0.43381622256536495,LatentFlow,0.4267743105826104,43
ETTh2,336,0.4239168061299145,LatentFlow,0.41156372430863924,44
ETTh2,336,0.4348568315601447,LatentFlow,0.4267020386210415,45
ETTh2,336,0.42783686345478456,LatentFlow,0.41502608460654644,46
ETTh2,720,0.43854124645959064,LatentFlow,0.4182081405769548,42
ETTh2,720,0.4468676601619024,LatentFlow,0.4368366578280885,43
ETTh2,720,0.4511602481575769,LatentFlow,0.43759845636049677,44
ETTh2,720,0.44404134140585694,LatentFlow,0.4243852729579089,45
ETTh2,720,0.4396739196990294,LatentFlow,0.4240922793711736,46
ETTm1,96,0.3788299991861661,LatentFlow,0.34608704034718446,42
ETTm1,96,0.37386706990699814,LatentFlow,0.3350524801073614,43
ETTm1,96,0.37215081161343205,LatentFlow,0.33476287593465925,44
ETTm1,96,0.37568321943506666,LatentFlow,0.33880093374686576,45
ETTm1,96,0.37159831370713126,LatentFlow,0.3327581605039761,46
ETTm1,192,0.3980640535317856,LatentFlow,0.3813478510583697,42
ETTm1,192,0.39651534458020243,LatentFlow,0.38090578920044743,43
ETTm1,192,0.39596875756155353,LatentFlow,0.3784693725809327,44
ETTm1,192,0.40250063238337175,LatentFlow,0.39295605597909256,45
ETTm1,192,0.4011710910993459,LatentFlow,0.3904489017529929,46
ETTm1,336,0.4211018372895208,LatentFlow,0.4224221247003277,42
ETTm1,336,0.4203169403424651,LatentFlow,0.4135662009150009,43
ETTm1,336,0.4169673195980457,LatentFlow,0.4161082527945975,44
ETTm1,336,0.43958715140634486,LatentFlow,0.4606223764176206,45
ETTm1,336,0.4213948481586211,LatentFlow,0.4184764185739717,46
ETTm1,720,0.47642321199393256,LatentFlow,0.5111196980764312,42
ETTm1,720,0.4686201564713423,LatentFlow,0.48906182206480814,43
ETTm1,720,0.47736329221450136,LatentFlow,0.5127293497781451,44
ETTm1,720,0.45882212620774127,LatentFlow,0.4826467743064109,45
ETTm1,720,0.4637163028833114,LatentFlow,0.49450942450701996,46
ETTm2,96,0.2580017761321096,LatentFlow,0.17361310991953224,42
ETTm2,96,0.25903178996389903,LatentFlow,0.17500009207821418,43
ETTm2,96,0.2590363641623421,LatentFlow,0.1761702158561135,44
ETTm2,96,0.2605578148040819,LatentFlow,0.1772413624591277,45
ETTm2,96,0.2584597509697575,LatentFlow,0.17346998582001066,46
ETTm2,192,0.2998266398193433,LatentFlow,0.24021859779491156,42
ETTm2,192,0.30190450481182957,LatentFlow,0.24148138810610306,43
ETTm2,192,0.30233384534809365,LatentFlow,0.24194695701033272,44
ETTm2,192,0.3013738311833415,LatentFlow,0.241445003199563,45
ETTm2,192,0.30041260414628135,LatentFlow,0.2393030272939203,46
ETTm2,336,0.34600727935710557,LatentFlow,0.3080357600960941,42
ETTm2,336,0.34588291606166616,LatentFlow,0.30786420258596997,43
ETTm2,336,0.34424359451627157,LatentFlow,0.30633467707777917,44
ETTm2,336,0.3465300689572259,LatentFlow,0.3098278057550611,45
ETTm2,336,0.34648394825235657,LatentFlow,0.30777939181879294,46
ETTm2,720,0.4080426387217376,LatentFlow,0.4151268912819473,42
ETTm2,720,0.40400258907469067,LatentFlow,0.411601239391644,43
ETTm2,720,0.40942025808729854,LatentFlow,0.4240582069528165,44
ETTm2,720,0.4060159077251933,LatentFlow,0.41532443879473396,45
ETTm2,720,0.40494165511476077,LatentFlow,0.41341775118483637,46
Electricity,96,0.2508596638764409,LatentFlow,0.15570696800612818,42
Electricity,96,0.25180967333746596,LatentFlow,0.15713535401457257,43
Electricity,96,0.2508139978174621,LatentFlow,0.15581252207241159,44
Electricity,96,0.25239620311076083,LatentFlow,0.1579665403845659,45
Electricity,96,0.2511194333509155,LatentFlow,0.156195225551409,46
Electricity,192,0.26124667811432056,LatentFlow,0.16815630626409142,42
Electricity,192,0.2635374277582527,LatentFlow,0.17135636828394213,43
Electricity,192,0.26344067830166146,LatentFlow,0.17008842271942068,44
Electricity,192,0.26411917792891787,LatentFlow,0.17108092049020457,45
Electricity,192,0.26171679721166136,LatentFlow,0.16918815544271146,46
Electricity,336,0.2815852144186746,LatentFlow,0.18853918673404638,42
Electricity,336,0.2812145097940341,LatentFlow,0.1885600741318635,43
Electricity,336,0.2786012430289432,LatentFlow,0.1852753420112633,44
Electricity,336,0.28011170114927947,LatentFlow,0.18787994826900992,45
Electricity,336,0.2782694804756646,LatentFlow,0.1853711764685714,46
Electricity,720,0.3067955012720217,LatentFlow,0.21688893757710398,42
Electricity,720,0.30972592475459204,LatentFlow,0.22361917824319316,43
Electricity,720,0.3073082810152213,LatentFlow,0.2199037071369894,44
Electricity,720,0.3111675658865609,LatentFlow,0.2234869616835649,45
Electricity,720,0.31057534523503805,LatentFlow,0.22447017472368186,46
Traffic,96,0.2922119657591534,LatentFlow,0.43147983364527814,42
Traffic,96,0.29427307107964956,LatentFlow,0.4364217044297948,43
Traffic,96,0.29474155862099277,LatentFlow,0.43269573674983036,44
Traffic,96,0.2966698663522413,LatentFlow,0.4405515763489529,45
Traffic,96,0.2930334983996972,LatentFlow,0.434119454250074,46
Traffic,192,0.2996243785765195,LatentFlow,0.45163088284431097,42
Traffic,192,0.29695253036295993,LatentFlow,0.44952500596177614,43
Traffic,192,0.29846839764880734,LatentFlow,0.4494369994875605,44
Traffic,192,0.2972674751581343,LatentFlow,0.4540958267583308,45
Traffic,192,0.29519471427321464,LatentFlow,0.44701208567089357,46
Traffic,336,0.2988856047073473,LatentFlow,0.4595566871458172,42
Traffic,336,0.3046149092424207,LatentFlow,0.4667781006669229,43
Traffic,336,0.30064818568031376,LatentFlow,0.4621851543000643,44
