ci95_high,ci95_low,dataset,horizon,mean,metric,model,paper_value,seeds,std
0.2569334023644118,0.2569334023644118,Weather,96,0.2569334023644118,mae,xCPD,0.2569,1,0.0
0.23462801113731038,0.23462801113731038,Weather,192,0.23462801113731038,mse,xCPD,0.2346,1,0.0
0.2885570522232212,0.2885570522232212,Weather,192,0.2885570522232212,mae,xCPD,0.2886,1,0.0
0.2799533060199495,0.2799533060199495,Weather,336,0.2799533060199495,mse,xCPD,0.2800,1,0.0
0.3272672714501268,0.3272672714501268,Weather,336,0.3272672714501268,mae,xCPD,0.3273,1,0.0
0.34714364544272286,0.34714364544272286,Weather,720,0.34714364544272286,mse,xCPD,0.3471,1,0.0
0.38318207165601403,0.38318207165601403,Weather,720,0.38318207165601403,mae,xCPD,0.3832,1,0.0
0.1923910909116493,0.1923910909116493,Electricity,96,0.1923910909116493,mse,xCPD,0.1924,1,0.0
0.2785773735646464,0.2785773735646464,Electricity,96,0.2785773735646464,mae,xCPD,0.2786,1,0.0
0.1920432943234273,0.1920432943234273,Electricity,192,0.1920432943234273,mse,xCPD,0.1920,1,0.0
0.28292609635022953,0.28292609635022953,Electricity,192,0.28292609635022953,mae,xCPD,0.2829,1,0.0
0.20480872475793305,0.20480872475793305,Electricity,336,0.20480872475793305,mse,xCPD,0.2048,1,0.0
0.29740061744153035,0.29740061744153035,Electricity,336,0.29740061744153035,mae,xCPD,0.2974,1,0.0
0.24450866570584193,0.24450866570584193,Electricity,720,0.24450866570584193,mse,xCPD,0.2445,1,0.0
0.33422023056055755,0.33422023056055755,Electricity,720,0.33422023056055755,mae,xCPD,0.3342,1,0.0
0.5775004605466866,0.5775004605466866,Traffic,96,0.5775004605466866,mse,xCPD,0.5775,1,0.0
0.35041650851913964,0.35041650851913964,Traffic,96,0.35041650851913964,mae,xCPD,0.3504,1,0.0
0.5307768789099574,0.5307768789099574,Traffic,192,0.5307768789099574,mse,xCPD,0.5308,1,0.0
0.3285763610610621,0.3285763610610621,Traffic,192,0.3285763610610621,mae,xCPD,0.3286,1,0.0
0.5403105835373935,0.5403105835373935,Traffic,336,0.5403105835373935,mse,xCPD,0.5403,1,0.0
0.34007833283059113,0.34007833283059113,Traffic,336,0.34007833283059113,mae,xCPD,0.3401,1,0.0
