dataset,horizon,mae_mean,mae_std,mse_mean,mse_std,runs,variant
ETTm2,192,0.3014370016574697,0.001300275743787532,0.24121727242702745,0.001404432940918319,5,final_no_exchange
ETTm2,336,0.3456668267867164,0.0009728928142447407,0.3077813057398058,0.0014015774083738126,5,final_no_exchange
ETTm2,720,0.40597213935610144,0.0015736371139281847,0.41450561168508415,0.0020525411101484383,5,final_no_exchange
ETTm2,96,0.2589720556365086,0.000981307576533206,0.17492455641200075,0.0016682273434948745,5,final_no_exchange
Electricity,192,0.26283678846991687,0.00122997411485615,0.16989630363034774,0.0013702609573599518,5,final_no_exchange
Electricity,336,0.27989380911027956,0.0016620604614335935,0.18707974227717972,0.001790456319104597,5,final_no_exchange
Electricity,720,0.3100938481841851,0.002475928932517962,0.22367875986046698,0.0038867198009672156,5,final_no_exchange
Electricity,96,0.2513634516926837,0.0007508516364066935,0.15652926322845415,0.001020570872920287,5,final_no_exchange
Traffic,192,0.2973730974340877,0.0020956258910325306,0.45034298683289525,0.002611000583558385,5,final_no_exchange
Traffic,336,0.3024237437642837,0.0026732245779386827,0.4633265011568848,0.003825722948062533,5,final_no_exchange
Traffic,720,0.3165800315656986,0.0015381807884792121,0.49092933309575193,0.003218904297074807,5,final_no_exchange
Traffic,96,0.29415919003401847,0.0016521770360148947,0.4350099819851704,0.0036657662166713644,5,final_no_exchange
Weather,192,0.2567220405055182,0.0023772541517597706,0.21507278107197636,0.002319648396915359,5,final_no_exchange
Weather,336,0.2991246541337756,0.001190953069484569,0.27409283382458904,0.0018264157599456722,5,final_no_exchange
Weather,720,0.34885674605110717,0.000674751491610888,0.3507794092026078,0.0002784415858152272,5,final_no_exchange
Weather,96,0.21301290014273153,0.001373768660356692,0.16639330807220729,0.001483329277495391,5,final_no_exchange
ETTh1,192,0.44053749328071773,0.0020257607349333327,0.45222867652484905,0.005328266293800143,5,no_linear_bank
ETTh1,336,0.45824261062177707,0.004674766139989664,0.4858974262348335,0.00738017186033935,5,no_linear_bank
ETTh1,720,0.48701907936756844,0.014654061771406797,0.5137866637331344,0.041140327754098704,5,no_linear_bank
ETTh1,96,0.41801291954540803,0.004297241561513856,0.40679583170948613,0.004463412638653928,5,no_linear_bank
ETTh2,192,0.4021816538333952,0.0033829731225258203,0.38985081502280805,0.004834282610231354,5,no_linear_bank
ETTh2,336,0.43067110158130745,0.007455556128315111,0.42041453331163636,0.010644521452670103,5,no_linear_bank
ETTh2,720,0.4454475636550642,0.003215547820065453,0.42667553373086164,0.006042987849837385,5,no_linear_bank
ETTh2,96,0.35433135421314615,0.006551252374904508,0.3086714334219677,0.00709143762555591,5,no_linear_bank
ETTm1,192,0.4026328043340026,0.0061296943736108235,0.3913311276810393,0.012745465987075325,5,no_linear_bank
ETTm1,336,0.4260467949030855,0.003952462246982841,0.4278733142492947,0.009251369184149512,5,no_linear_bank
ETTm1,720,0.4626053497833662,0.008859923912929257,0.48480590579028887,0.01351429362852586,5,no_linear_bank
ETTm1,96,0.3830523082545937,0.004145953917333521,0.3478047233800957,0.005879440394679717,5,no_linear_bank
ETTm2,192,0.30682092224224417,0.002714403566166381,0.2462508536248377,0.0033965391620346245,5,no_linear_bank
ETTm2,336,0.3493062598779847,0.002379591258975139,0.31307146810301384,0.0028886363423533783,5,no_linear_bank
ETTm2,720,0.4046777636582196,0.0022647267331820068,0.4138698864832328,0.002487508765622847,5,no_linear_bank
ETTm2,96,0.26413040920375624,0.0008262766369587138,0.17915479782530203,0.00106075896629929,5,no_linear_bank
Electricity,192,0.2723400641550996,0.0009217858739955999,0.1801942800565146,0.001572533469582244,5,no_linear_bank
Electricity,336,0.28745091978309256,0.0024028914565425294,0.19609825751174415,0.0026899814684712134,5,no_linear_bank
Electricity,720,0.3202174271772472,0.004768219378271627,0.23753445562739134,0.005955024250725097,5,no_linear_bank
Electricity,96,0.2638566694370441,0.0026536509135125738,0.16897690713592634,0.0021453613704999147,5,no_linear_bank
Traffic,192,0.31481946970244595,0.0015924175868601096,0.46771589675598363,0.004266273248408364,5,no_linear_bank
Traffic,336,0.3169250821854743,0.0035084942858146324,0.4781879706216392,0.0039402906935548055,5,no_linear_bank
Traffic,720,0.3322824904137859,0.003467709613456763,0.507514328879799,0.005612762145575517,5,no_linear_bank
Traffic,96,0.31269956991845543,0.004769462679291289,0.4550632339144431,0.00584619049719081,5,no_linear_bank
Weather,192,0.2591183148041808,0.0030675231738736385,0.2183682773621572,0.0029396278112661595,5,no_linear_bank
