batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,provenance,reference_epochs,representation_weight,result_path,result_sha256,rmse,seed,selected_config,selection_protocol,seq_len,training_ms_optimizer_step,variant,weight_decay,wide_batch_size
,9,,1.2976757936737164,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/iTransformer/seed42/ETTh1/h336.pt,,,,ETTh1,,,,,,,,,336,,2.0722676880466633,,,0.4612828175535931,,,iTransformer,0.4876814839662228,,2545.0,320976,,,repository-native matched implementation,,,physics_modal_v4/results/final/headline/runs/iTransformer/seed42/ETTh1/h336.json,dfa0f7223c179ac28705201b3826e832e3076ed2a2c0920247513bf057db9c2d,0.698341953462788,42,,validation MSE only; test evaluated once,,8.637410422670655,,,
16,10,,1.2936180586717567,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed43/ETTh1/h336.pt,8b57ce9693bb3950,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,2.078738111333969,,0.0007,0.4604129671806714,2048,1024,iTransformer,0.48608544942105036,0.02,2545.0,320976,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed43/ETTh1/h336.json,222b192d68d11e3794efa15b6e1906270bc8ba33b25499e32f44402aee5c1a92,0.6971982855838433,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,8.73433732194826,iTransformer,0.0001,4
16,10,,1.2953198596733768,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed44/ETTh1/h336.pt,9a172f88f40e1963,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,2.246282415655561,,0.0007,0.4605501290989443,2048,1024,iTransformer,0.4863826446168165,0.02,2545.0,320976,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed44/ETTh1/h336.json,fe9f456020fc33bcdc8caaf60424095cadd8ef635eacfc49079b4aa3d67075c2,0.6974113883618596,44,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,9.045937334303744,iTransformer,0.0001,4
16,9,,1.2937148720228753,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed45/ETTh1/h336.pt,ba0fa1f7309418ef,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,2.065499838537131,,0.0007,0.46127458327695026,2048,1024,iTransformer,0.48811359652529973,0.02,2545.0,320976,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed45/ETTh1/h336.json,2dc165e7f60275df1b336e3a26dc15f5dfed4d3bd9c7134130ba7cdc064061f4,0.6986512696083074,45,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,8.688407728914171,iTransformer,0.0001,4
16,10,,1.2939082740926418,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed46/ETTh1/h336.pt,20eded1c26e62f83,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,2.1958637815446425,,0.0007,0.45989194916670006,2048,1024,iTransformer,0.4846229934677088,0.02,2545.0,320976,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed46/ETTh1/h336.json,acb9871a2e8119e7c3847a61e74848be12f0ffc8fce683782b4a1cf85bbe3a3e,0.6961486863219012,46,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,8.937994927691761,iTransformer,0.0001,4
,0,reference,1.2844313245241334,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed42/ETTh1/h336.pt,,2,False,ETTh1,,141.27948689134791,,,,,,,336,32,7.760938592962449,16,,0.45415585197978037,,,LatentFlow,0.4817180077371921,0.02,2545.0,1676686,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed42/ETTh1/h336.json,f46e8346889ca36ad05b384ad98ce4e2296885887e5e0645020d21e94a242f80,0.6940590808693393,42,,validation MSE only; test evaluated once,,102.75373170625244,,,
,0,reference,1.2917826548725568,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed43/ETTh1/h336.pt,,2,False,ETTh1,,136.70470869587734,,,,,,,336,32,8.205710916155123,16,,0.4605197977717322,,,LatentFlow,0.4966021921924544,0.02,2545.0,1676686,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed43/ETTh1/h336.json,f7f5898224daa957a6fb270f98b3296f493b3396444dc15fc8a1b81420784fd6,0.7047000725077687,43,,validation MSE only; test evaluated once,,99.17901085173071,,,
,0,reference,1.2865984881816268,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed44/ETTh1/h336.pt,,2,False,ETTh1,,137.7092479201965,,,,,,,336,32,7.669156735550754,16,,0.45960576987732715,,,LatentFlow,0.49471651836941954,0.02,2545.0,1676686,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed44/ETTh1/h336.json,df254c1fe743554b7d8f4e8b7ed54688c17c0081f6d53b0aa66b7b0e1b6af9f0,0.7033608734991018,44,,validation MSE only; test evaluated once,,100.02285226037202,,,
,0,reference,1.2853201546636568,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed45/ETTh1/h336.pt,,2,False,ETTh1,,145.00487793702632,,,,,,,336,32,8.257180736753854,16,,0.4569962442296437,,,LatentFlow,0.48986910685960405,0.02,2545.0,1676686,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed45/ETTh1/h336.json,8f392246d3731f5dcb535f204fd134869dcf99f700adaed69fbb0fdb58d08ef7,0.6999064986550733,45,,validation MSE only; test evaluated once,,105.45338806168729,,,
,1,extension,1.2883445279938834,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed46/ETTh1/h336.pt,,2,False,ETTh1,,145.68587027999456,,,,,,,336,32,31.23554955113199,16,,0.4534994653422115,,,LatentFlow,0.48176558784036316,0.02,2545.0,1676686,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed46/ETTh1/h336.json,9c5987d383c95a9dd9bccba9d4362d519ad9598f8c2d7695ab9c107223677dd5,0.6940933567182178,46,,validation MSE only; test evaluated once,,103.14546169530558,,,
