clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
-0.0011295057466286249,-0.005630854481765095,-0.0033935483642034453,ALL,bank,negative contrast favors the +1 level(s),mae,84
-0.004460368675548918,-0.004460368675548918,-0.004460368675548918,ETTh1,bank,negative contrast favors the +1 level(s),mae,12
-0.0023221764889712684,-0.0023221764889712684,-0.0023221764889712684,ETTh2,bank,negative contrast favors the +1 level(s),mae,12
0.0007490495144483583,0.0007490495144483583,0.0007490495144483583,ETTm1,bank,negative contrast favors the +1 level(s),mae,12
-0.004416155540094467,-0.004416155540094467,-0.004416155540094467,ETTm2,bank,negative contrast favors the +1 level(s),mae,12
0.0008502418496357326,0.0008502418496357326,0.0008502418496357326,Weather,bank,negative contrast favors the +1 level(s),mae,12
-0.006717412279971108,-0.006717412279971108,-0.006717412279971108,Electricity,bank,negative contrast favors the +1 level(s),mae,12
-0.007438016928922447,-0.007438016928922447,-0.007438016928922447,Traffic,bank,negative contrast favors the +1 level(s),mae,12
-0.00014314910051162498,-0.001565057911027401,-0.0007655698925560004,ALL,continuation,negative contrast favors the +1 level(s),mae,84
-0.00018697505646878576,-0.00018697505646878576,-0.00018697505646878576,ETTh1,continuation,negative contrast favors the +1 level(s),mae,12
0.00013262211195260581,0.00013262211195260581,0.00013262211195260581,ETTh2,continuation,negative contrast favors the +1 level(s),mae,12
-0.00011263636716534603,-0.00011263636716534603,-0.00011263636716534603,ETTm1,continuation,negative contrast favors the +1 level(s),mae,12
-0.000304456010350457,-0.000304456010350457,-0.000304456010350457,ETTm2,continuation,negative contrast favors the +1 level(s),mae,12
-0.0004914088309616946,-0.0004914088309616946,-0.0004914088309616946,Weather,continuation,negative contrast favors the +1 level(s),mae,12
-0.0014847512999646751,-0.0014847512999646751,-0.0014847512999646751,Electricity,continuation,negative contrast favors the +1 level(s),mae,12
-0.00291138379493365,-0.00291138379493365,-0.00291138379493365,Traffic,continuation,negative contrast favors the +1 level(s),mae,12
0.0003678233103751387,-0.0017982178776563545,-0.0007104687631253016,ALL,scale_x_bank,negative contrast favors the +1 level(s),mae,84
-0.0005261822396697065,-0.0005261822396697065,-0.0005261822396697065,ETTh1,scale_x_bank,negative contrast favors the +1 level(s),mae,12
-0.0013678154007584927,-0.0013678154007584927,-0.0013678154007584927,ETTh2,scale_x_bank,negative contrast favors the +1 level(s),mae,12
-0.0009813244401298202,-0.0009813244401298202,-0.0009813244401298202,ETTm1,scale_x_bank,negative contrast favors the +1 level(s),mae,12
