bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,reference_epochs,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,seq_len,structural_only,trainable_parameters,training_ms_optimizer_step,variant,weight_decay,wide_batch_size
on,16,10,extension,0.386265347470448,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h192.pt,c7d92eebe2e9dd8c,early,2,False,Traffic,16,1296.7792125158012,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,10.63109512085428,,0.0007,0.30903464282904125,2048,1024,LatentFlow,0.46258079488073733,0.02,3319.0,1483750,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h192.json,fe49fd5bfba151511bd75229adebe20d2b79d24b9fcc24679a5f1232a834fdd8,,0.6801329244204675,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,988.844996066473,early_fusion,0.0001,4
on,16,9,extension,0.39660320444247193,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h336.pt,9585be32996524ab,early,2,False,Traffic,16,1354.173714838922,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,11.19204726413532,,0.0007,0.31004021560593426,2048,1024,LatentFlow,0.46936524077227076,0.02,3175.0,1627700,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h336.json,6c03b39b7ce1650fd56825363ce8d0b53a655a95c31652847ee33fbaf9635a31,,0.6851023578796608,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,1032.2556012133646,early_fusion,0.0001,4
on,16,9,extension,0.4434532441869167,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h720.pt,2c0a9b94a210cb32,early,2,False,Traffic,16,1496.5643670912832,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,12.682490446872409,,0.0007,0.32889101650072566,2048,1024,LatentFlow,0.5047611731701186,0.02,2791.0,2019836,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h720.json,65d3b450b0ef8857ecb50c7b27b93153c048263fcef3e4d6fc16eebdc4a6f28a,,0.7104654623344604,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,1142.1739434605115,early_fusion,0.0001,4
on,16,10,extension,0.3873344277192342,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h96.pt,d76658e88fd41804,early,2,False,Traffic,16,1280.21968099894,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,10.330902694827252,,0.0007,0.30567942414674226,2048,1024,LatentFlow,0.4450950661287888,0.02,3415.0,1388746,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h96.json,7271e13cf6eb6e60147a3218cd67620acf7e6638fffcc03c802521c0c0b21daa,,0.6671544544772139,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,975.6395800843165,early_fusion,0.0001,4
on,16,4,extension,0.47729724633788306,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Weather/h192.pt,b5576c37adf65d46,early,2,False,Weather,16,212.99534969357774,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,8.231214013730371,,0.0007,0.25844894718644396,2048,1024,LatentFlow,0.21760237948327663,0.02,10349.0,1484344,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Weather/h192.json,4986641fe9f06ee9ff2bb307822f6e4f49571a4f6e7c6de9c649a9f49bcbe3aa,,0.4664787020682473,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,158.08094347667065,early_fusion,0.0001,4
on,16,3,extension,0.5577805864027028,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Weather/h336.pt,598633a7cdc66300,early,2,False,Weather,16,222.3461069050245,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,8.413583935683581,,0.0007,0.3007526241041084,2048,1024,LatentFlow,0.2751499827851865,0.02,10205.0,1628294,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Weather/h336.json,00360b65d26ad50d8a8b2b688e5064168e48d3ade5dd26c95edbf8b9734cc3f8,,0.5245474075669295,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,165.19103510363493,early_fusion,0.0001,4
on,16,2,extension,0.6942512093397676,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Weather/h720.pt,5f25bdd20d204b3a,early,2,False,Weather,16,211.61528464220464,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.963542554077078,,0.0007,0.3506985500528912,2048,1024,LatentFlow,0.35200429896336977,0.02,9821.0,2020430,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Weather/h720.json,d36b82b1b0709451acee08cd3cb791053fabb4ebf218a2a5c6169e9e9f8d1029,,0.5932995019072321,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,157.40505208304967,early_fusion,0.0001,4
on,16,4,extension,0.43265223562244387,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Weather/h96.pt,5d8140260e263164,early,2,False,Weather,16,207.57705322105903,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.21491239696867,,0.0007,0.2174296580154658,2048,1024,LatentFlow,0.17154243425354204,0.02,10445.0,1389340,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Weather/h96.json,8cce2940e1659afd54811ad48d3af4fbcdc2c3fddc63f9884a1b2045214c708d,,0.4141768152052237,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,153.95545145320284,early_fusion,0.0001,4
on,16,1,extension,1.0240253529378347,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed43/ETTh1/h192.pt,565a5b3dadfe41f5,early,2,False,ETTh1,16,132.81214847799856,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.853782472262036,,0.0007,0.43998985352676867,2048,1024,LatentFlow,0.4525807035020206,0.02,2689.0,1535526,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed43/ETTh1/h192.json,52ed1256e277fa513acbd2c131a22830c43eb8a4d7b385e6efc5725228617b6c,,0.672741186119908,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,99.00546535709509,early_fusion,0.0001,4
on,16,0,reference,1.2917826548725568,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed43/ETTh1/h336.pt,3654a9dedcaed34d,early,2,False,ETTh1,16,135.47526891715825,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.847352946601525,,0.0007,0.4605197977717322,2048,1024,LatentFlow,0.4966021921924544,0.02,2545.0,1676686,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed43/ETTh1/h336.json,fa452153c76887e33a6c31d55263ef95065ff4e9fad7f90b79594306feaf46f6,,0.7047000725077687,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,101.05875784320233,early_fusion,0.0001,4
