cells,control_better,control_worse,dataset,final_mean,mean,mean_relative_degradation_percent,metric,seed_clustered_ci95_high_percent,seed_clustered_ci95_low_percent,ties,variant
12,5,5,ETTm1,0.4117754751144251,0.40980554860398133,-0.43395929459944527,mse,-0.008446843284734551,-0.7593181862051658,2,no_sensor_group_priors
12,6,4,ETTm1,0.4170882783186152,0.4162798652072113,-0.18295910440272548,mae,0.04492972932211292,-0.3855719161757449,2,no_sensor_group_priors
12,5,4,ETTm2,0.28449391105994676,0.28463931243456536,0.055458351189242396,mse,0.11083123952331242,0.014020346681006823,3,no_sensor_group_priors
12,2,7,ETTm2,0.3279189649148773,0.32804891503940925,0.043012905737968565,mae,0.09543085884338165,0.010233880653717775,3,no_sensor_group_priors
12,2,10,Electricity,0.18402175779705754,0.1846795706879267,0.3349829443117504,mse,1.0247123432490846,-0.06442047163597586,0,no_sensor_group_priors
12,3,9,Electricity,0.2758912819461659,0.276328872966417,0.15021184166304768,mae,0.49169264945457813,-0.09718738162288465,0,no_sensor_group_priors
12,6,6,Traffic,0.4595890266717415,0.4590937839211602,-0.10321605691499351,mse,0.005702008734057018,-0.27591182400689973,0,no_sensor_group_priors
12,3,9,Traffic,0.3024234317586865,0.30275071219816635,0.10869507315845646,mae,0.2180541292426924,-0.06984446697508029,0,no_sensor_group_priors
12,4,8,Weather,0.2512396577436952,0.2519312551117079,0.3269667632786151,mse,0.4956207746588864,0.007722824190131705,0,no_sensor_group_priors
12,6,6,Weather,0.27929194797271706,0.27980932447451246,0.21486972815068506,mae,0.36692939236205585,0.04486815625834306,0,no_sensor_group_priors
12,3,3,ETTh1,0.4609035881714986,0.46040298823995623,-0.10145254382519138,mse,0.11496738125412187,-0.39847374589844503,6,permuted_process_families
12,5,1,ETTh1,0.4470164746048874,0.44666175808317815,-0.07809412055458746,mae,-0.022388535625755823,-0.18922825426379852,6,permuted_process_families
12,1,2,ETTh2,0.38126656252488483,0.38115438446973143,-0.02408554348334498,mse,0.009425257078976568,-0.08168188752902261,9,permuted_process_families
12,0,3,ETTh2,0.4041529952511267,0.4042558659782087,0.023393231399720937,mae,0.0673545529422559,1.6653345369377348e-14,9,permuted_process_families
12,4,6,ETTm1,0.4117754751144251,0.4114935762835154,-0.03968738077894477,mse,0.212564217565836,-0.22898030245610546,2,permuted_process_families
12,3,7,ETTm1,0.4170882783186152,0.4177420389421414,0.15211397815979114,mae,0.29385607334752595,0.0012935842850142487,2,permuted_process_families
12,3,6,ETTm2,0.28449391105994676,0.28458810847440436,0.037684222874265205,mse,0.1030196342094225,-0.05187033872981195,3,permuted_process_families
12,4,5,ETTm2,0.3279189649148773,0.32799285447768495,0.025653740657137953,mae,0.09907545081618285,-0.03076349983173743,3,permuted_process_families
12,10,2,Electricity,0.18402175779705754,0.1818205827581544,-1.0304963087370111,mse,-0.24572911834596367,-1.614590301439245,0,permuted_process_families
12,8,4,Electricity,0.2758912819461659,0.275095426185578,-0.26028770020662023,mae,0.06551100770623153,-0.5456718985310499,0,permuted_process_families
12,4,8,Traffic,0.4595890266717415,0.46028260645085933,0.14882391232634387,mse,0.3242376218763915,0.035995282833148345,0,permuted_process_families
12,6,6,Traffic,0.3024234317586865,0.30244572078274085,0.009940548931909135,mae,0.11597758941431502,-0.06048204469606966,0,permuted_process_families
12,5,7,Weather,0.2512396577436952,0.25147741496557524,0.1290936052609585,mse,0.46684461786038467,-0.3277596224070589,0,permuted_process_families
12,7,5,Weather,0.27929194797271706,0.2793937705973923,0.050609480083569726,mae,0.2597469531991553,-0.177714726554562,0,permuted_process_families
